customer_id,first_name,last_name,birth_date,email,address,income,snapshot_date
CUST1,Laurie,Brown,1961-09-23,abell@patterson.com,"88830 Alexander Views Apt. 851, New Jeanetteport, LA 15641",105540,2024-02-01
CUST2,Kevin,Chavez,1990-09-10,wpatel@mcdaniel-baker.com,"266 Johnathan Pike Apt. 756, Welchport, WV 83341",53877,2024-02-01
CUST3,Ian,Alexander,1944-04-02,keith58@gmail.com,"94790 Willis Roads Suite 460, Jamesfurt, RI 19915",48064,2024-02-01
CUST4,Erin,Johnston,1939-07-27,kimsmith@gmail.com,"045 Shane Forge, South Heatherhaven, NJ 63265",29260,2024-02-01
CUST5,Andrea,Richmond,1974-08-19,efoster@cox.org,"7583 Darlene Dam, New Tonya, MT 88157",95552,2024-02-01
CUST6,Kevin,Pearson,1947-02-19,rodriguezkatherine@yahoo.com,"PSC 9852, Box 6743, APO AE 94126",119033,2024-02-01
CUST7,Justin,Schroeder,1955-02-15,wrightanna@hartman.org,"790 Janice Cliffs Suite 586, North Leonard, VT 30774",42681,2024-02-01
CUST8,Crystal,Singh,1981-11-26,jeffrey35@guerra-hill.com,"872 Harding Gardens, New Christopherfurt, IA 49386",49636,2024-02-01
CUST9,Samuel,Morris,1971-10-27,xmoody@west.info,"4398 Wilson Grove Suite 816, Burgessfurt, WY 10624",114030,2024-02-01
CUST10,Johnny,Armstrong,1949-04-06,bbarry@pratt-brown.info,"Unit 9532 Box 6596, DPO AE 27366",62107,2024-02-01
CUST11,Katherine,Williams,1970-07-13,johnsonbrittany@hotmail.com,"31804 Lewis Islands, Saraberg, ID 07986",74568,2024-02-01
CUST12,Katie,Martinez,1988-01-11,hfoster@li-reed.com,"61101 Amy Ridges Suite 610, East Gina, OK 08380",37464,2024-02-01
CUST13,Taylor,Blackburn,2000-03-30,camachostacey@payne-martin.com,"71970 David Drive, Phamshire, SC 36226",103834,2024-02-01
CUST14,Peter,Levine,1987-05-23,smithjustin@gmail.com,"3741 Wheeler Shore, Jenniferhaven, AR 32188",55619,2024-02-01
CUST15,Renee,James,1936-12-11,heatherwheeler@gmail.com,"5744 Lopez Avenue Apt. 973, East Justinton, IL 41298",34984,2024-02-01
CUST16,Susan,Ramirez,1989-10-18,jamescooper@yahoo.com,"600 Charles Lock, South Andrea, DE 52899",65301,2024-02-01
CUST17,Lindsey,Lee,1976-12-25,crystal92@gmail.com,"9461 Steven Well, West Michelletown, WA 99130",73880,2024-02-01
CUST18,Kimberly,Bernard,1994-07-20,estestimothy@nelson.net,"Unit 4939 Box 5325, DPO AP 84341",105341,2024-02-01
CUST19,Kathleen,Garrett,1976-09-05,henryjason@hotmail.com,"5409 Cantu Drive, Larrychester, NJ 64605",116457,2024-02-01
CUST20,Jenna,Rivera,1986-11-03,narroyo@stone.com,"288 Brandon Mountain, West Ryan, ND 43396",60241,2024-02-01
CUST21,Caleb,Kramer,1991-11-10,xcoleman@brooks-whitaker.com,"PSC 8712, Box 8890, APO AP 29128",57313,2024-02-01
CUST22,Bruce,Shields,1973-03-22,gsantiago@yahoo.com,"68944 Smith Village, Barberchester, MS 09521",41554,2024-02-01
CUST23,Sara,Hunter,1947-03-01,susan78@randall-mcdaniel.net,"80144 Guerra Garden Apt. 964, Sheriside, OH 08990",31007,2024-02-01
CUST24,Justin,Booth,1959-11-13,johnnywilliams@peterson.com,"225 Carter Ramp Suite 523, Cunninghammouth, NE 71912",47978,2024-02-01
CUST25,Paul,Brown,1997-10-13,sheenapeterson@yahoo.com,"3705 Huerta Rapid, New Christopher, MT 64878",58282,2024-02-01
CUST26,Emily,White,1939-12-25,laura31@gmail.com,"26446 Amy Islands, Kristinhaven, MO 98771",40132,2024-02-01
CUST27,Tracie,Arroyo,1943-01-16,rodrigueztravis@hebert-powers.org,"18432 Carter Station, Riddlebury, MN 20116",104355,2024-02-01
CUST28,Curtis,Gonzalez,1946-10-10,morgandavid@anthony.net,"47150 Sloan Plaza, Lake Jeffrey, OK 47505",110821,2024-02-01
CUST29,Bradley,Taylor,1971-06-23,josephharris@nicholson.net,"54035 Andrew Isle Suite 363, New Stephanie, IL 51689",112778,2024-02-01
CUST30,Olivia,Patterson,1940-07-24,bradley56@yahoo.com,"5094 Monica Garden, Port Nicoleville, OR 88432",104505,2024-02-01
CUST31,Mary,Tate,1935-12-30,joshua22@giles-brown.com,"Unit 9350 Box 4157, DPO AP 95623",50033,2024-02-01
CUST32,James,Stewart,2004-01-11,vsalas@young.com,"5190 Joshua Valley, Port Stacystad, PA 85721",79341,2024-02-01
CUST33,Gregory,Hines,1987-11-29,collinsadriana@yahoo.com,"7955 Briana Forks Suite 843, South Aaronbury, AL 59545",112701,2024-02-01
CUST34,James,Swanson,1950-01-21,kevinmiller@cowan.com,"476 Kathryn Port Suite 294, South Kristi, AZ 42766",118023,2024-02-01
CUST35,Brian,Lewis,1979-07-20,oday@gmail.com,"7046 Gray Trafficway, Jaredmouth, DC 88199",137194,2024-02-01
CUST36,Marissa,Moore,1944-03-09,gregory19@yahoo.com,"7470 Jackson Hills, East Christinafurt, IN 26588",40193,2024-02-01
CUST37,Erin,Lyons,1988-03-01,david24@mcdaniel-miller.com,"03401 Johnson Estates, Burnetttown, FL 37052",55467,2024-02-01
CUST38,Grace,Hartman,1939-10-17,elaine82@sanders-jones.com,"1476 Heather Valleys Apt. 362, West Michaelstad, FL 21704",89394,2024-02-01
CUST39,Thomas,Williams,1983-02-06,dannycarter@beck.com,"USNV Singh, FPO AA 79965",108317,2024-02-01
CUST40,Brittany,James,1941-07-31,lopezstanley@powell-anderson.info,"PSC 1588, Box 6909, APO AE 26535",134897,2024-02-01
CUST41,Jasmine,Vaughan,1987-01-10,gary51@yahoo.com,"604 Monica Shoals, Danielview, TN 49092",114731,2024-02-01
CUST42,Dustin,Powers,1976-09-23,riveradana@hotmail.com,"48634 Chapman Station, Bennettville, NJ 16031",127344,2024-02-01
CUST43,Kevin,Robinson,1983-12-25,zhenson@yahoo.com,"28822 Smith Via, North Richard, GA 87765",109230,2024-02-01
CUST44,Tyler,Rodriguez,1941-07-13,annalopez@henson-alexander.com,"122 Sonya Burgs, Bushville, DC 75268",33449,2024-02-01
CUST45,Michael,Chang,1949-01-10,twilson@sosa.com,"1882 Lopez Fields Apt. 838, Port Jenniferborough, OK 14028",65648,2024-02-01
CUST46,Ian,Landry,1997-05-19,russellcody@stewart.com,"0046 Pearson Port, Vegaburgh, CT 13812",97593,2024-02-01
CUST47,Mary,Watson,1968-08-16,craigkennedy@yahoo.com,"60836 Mueller Crossing, Lake Scott, VA 64086",84042,2024-02-01
CUST48,Charles,Williams,1990-12-03,randerson@gmail.com,"24082 Michele Gardens Apt. 816, North Ivan, VT 73921",87322,2024-02-01
