agent_id,name,email,region,start_date,snapshot_date
AG1000,Joseph James,ryan37@hicks.com,South,2022-10-16,2024-02-01
AG1001,Denise Brown,petersondonna@gmail.com,South,2021-08-04,2024-02-01
AG1002,David Smith,aharris@thomas-thompson.com,East,2020-08-01,2024-02-01
AG1003,Michael Perkins,michael48@gmail.com,West,2023-02-19,2024-02-01
AG1004,Ronald Sutton,michael45@nelson.net,West,2021-10-10,2024-02-01
AG1005,William Garcia,angelapugh@davidson-mayo.net,East,2022-03-03,2024-02-01
AG1006,Rachel Wilson,catherine24@gmail.com,South,2021-01-25,2024-02-01
AG1007,Chad Moss,hstewart@yahoo.com,East,2023-06-01,2024-02-01
AG1008,Edwin Jackson,jamie66@yahoo.com,South,2023-01-21,2024-02-01
AG1009,Thomas Gonzalez,rlopez@hotmail.com,South,2023-04-01,2024-02-01
AG1010,Kimberly Howard,tbrock@duarte.com,East,2020-10-31,2024-02-01
AG1011,Timothy Mayer Jr.,nathanrodriguez@yahoo.com,West,2020-09-14,2024-02-01
AG1012,Erin Berry,jeffrey51@hotmail.com,West,2021-05-28,2024-02-01
AG1013,Terry Santos,dicksonchristopher@pacheco.info,,2021-10-03,2024-02-01
AG1014,Travis Cox,watsonroger@yahoo.com,West,2022-06-24,2024-02-01
AG1015,Kevin Peters,rebecca60@gmail.com,North,2021-04-21,2024-02-01
AG1016,Patricia Wagner,espinozachris@hotmail.com,South,2022-09-25,2024-02-01
AG1017,James Gordon,patricia42@rowe-cruz.com,West,2021-07-09,2024-02-01
AG1018,Elizabeth Leonard,thomasmelissa@bailey-garcia.com,South,2022-03-13,2024-02-01
AG1019,Richard Ross,amyjackson@gmail.com,South,2022-02-08,2024-02-01
AG1020,Thomas Bates,sherrirosales@yahoo.com,West,2021-10-17,2024-02-01
AG1021,Joyce Haley,frederick69@alvarado.com,North,2021-09-09,2024-02-01
AG1022,Steven Rowland,cooperthomas@washington.com,South,2022-01-15,2024-02-01
AG1023,Christopher Dunlap,mccoybrian@doyle.com,South,2020-08-16,2024-02-01
AG1024,Brandy Davis,mlewis@chase.com,East,2022-03-30,2024-02-01
AG1025,Alexis Carroll,timothy80@smith.com,North,2022-03-14,2024-02-01
AG1026,Gary White,connienelson@yahoo.com,East,2021-01-29,2024-02-01
AG1027,Angela Adams,aguirreclarence@yahoo.com,South,2021-07-20,2024-02-01
